system:index,GRU_ID,HRU_ID,SCF_2008_count,SCF_2008_max,SCF_2008_mean,SCF_2008_median,SCF_2008_min,SCF_2008_stdDev,SCF_2009_count,SCF_2009_max,SCF_2009_mean,SCF_2009_median,SCF_2009_min,SCF_2009_stdDev,SCF_2010_count,SCF_2010_max,SCF_2010_mean,SCF_2010_median,SCF_2010_min,SCF_2010_stdDev,SCF_2011_count,SCF_2011_max,SCF_2011_mean,SCF_2011_median,SCF_2011_min,SCF_2011_stdDev,SCF_2012_count,SCF_2012_max,SCF_2012_mean,SCF_2012_median,SCF_2012_min,SCF_2012_stdDev,SCF_2013_count,SCF_2013_max,SCF_2013_mean,SCF_2013_median,SCF_2013_min,SCF_2013_stdDev,SCF_2014_count,SCF_2014_max,SCF_2014_mean,SCF_2014_median,SCF_2014_min,SCF_2014_stdDev,SCF_2015_count,SCF_2015_max,SCF_2015_mean,SCF_2015_median,SCF_2015_min,SCF_2015_stdDev,SCF_2016_count,SCF_2016_max,SCF_2016_mean,SCF_2016_median,SCF_2016_min,SCF_2016_stdDev,SCF_2017_count,SCF_2017_max,SCF_2017_mean,SCF_2017_median,SCF_2017_min,SCF_2017_stdDev,SCF_2018_count,SCF_2018_max,SCF_2018_mean,SCF_2018_median,SCF_2018_min,SCF_2018_stdDev,SCF_2019_count,SCF_2019_max,SCF_2019_mean,SCF_2019_median,SCF_2019_min,SCF_2019_stdDev,SDD_2008_count,SDD_2008_max,SDD_2008_mean,SDD_2008_median,SDD_2008_min,SDD_2008_stdDev,SDD_2009_count,SDD_2009_max,SDD_2009_mean,SDD_2009_median,SDD_2009_min,SDD_2009_stdDev,SDD_2010_count,SDD_2010_max,SDD_2010_mean,SDD_2010_median,SDD_2010_min,SDD_2010_stdDev,SDD_2011_count,SDD_2011_max,SDD_2011_mean,SDD_2011_median,SDD_2011_min,SDD_2011_stdDev,SDD_2012_count,SDD_2012_max,SDD_2012_mean,SDD_2012_median,SDD_2012_min,SDD_2012_stdDev,SDD_2013_count,SDD_2013_max,SDD_2013_mean,SDD_2013_median,SDD_2013_min,SDD_2013_stdDev,SDD_2014_count,SDD_2014_max,SDD_2014_mean,SDD_2014_median,SDD_2014_min,SDD_2014_stdDev,SDD_2015_count,SDD_2015_max,SDD_2015_mean,SDD_2015_median,SDD_2015_min,SDD_2015_stdDev,SDD_2016_count,SDD_2016_max,SDD_2016_mean,SDD_2016_median,SDD_2016_min,SDD_2016_stdDev,SDD_2017_count,SDD_2017_max,SDD_2017_mean,SDD_2017_median,SDD_2017_min,SDD_2017_stdDev,SDD_2018_count,SDD_2018_max,SDD_2018_mean,SDD_2018_median,SDD_2018_min,SDD_2018_stdDev,SDD_2019_count,SDD_2019_max,SDD_2019_mean,SDD_2019_median,SDD_2019_min,SDD_2019_stdDev,areaSqm,aspect,constant_count,contourLen,elev,fid,landcover,latitude,longitude,slope,soil,soilROSETT,soilType,streamID,tan_slope,vegType,.geo
0000000000000000000d,14,1401,141,0.6770833134651184,0.6112150279457546,0.6132075190544128,0.5377358198165894,0.02767776122606492,141,0.6754966974258423,0.6012641245777197,0.5973466026211927,0.5448275804519653,0.029888344888672747,141,0.6320000290870667,0.5427341557696991,0.5514705777168274,0.451127827167511,0.040213101969179134,141,0.7749999761581421,0.6868741444659047,0.6953125,0.577235758304596,0.05007881955581358,141,0.7346938848495483,0.6508530445294914,0.6486571640581698,0.5545454621315002,0.0409181627123751,141,0.7272727489471436,0.6695792201795716,0.6619718074798584,0.6000000238418579,0.029684746323629548,141,0.7731092572212219,0.656169212326078,0.6566224236916837,0.5503876209259033,0.050798702462952115,141,0.702479362487793,0.6466426448662597,0.6385372700954105,0.6016260385513306,0.023237354494972145,141,0.6837607026100159,0.6084452051207214,0.6017324328422546,0.5438596606254578,0.03336579104614388,141,0.7443609237670898,0.6329996195870065,0.6296296119689941,0.5616438388824463,0.04130239214137741,141,0.7400000095367432,0.6595045811987938,0.6539176442984784,0.603960394859314,0.03068091028574571,141,0.6396396160125732,0.509819653710199,0.49574445945460627,0.4237288236618042,0.05091426925117095,46,335.0,313.027139874739,322.0,232.0,29.03556908709941,95,365.0,257.2683236114633,227.0,210.0,53.30776787995809,106,362.0,231.83243573371814,219.00000000000003,2.0,116.32924726836723,122,364.0,283.5221416062047,325.0,213.0,54.8784589493131,30,310.0,233.97280799112102,221.0,208.0,26.96285510763941,125,359.0,278.97241120442936,235.99999999999994,232.0,58.911268871074185,113,344.0,232.9957844951676,210.99999999999997,208.0,50.24947863005366,135,290.0,227.85292203566328,217.99999999999997,209.0,21.24297479290802,122,366.0,316.16440586001073,362.0,201.0,66.07883821199026,102,345.0,225.68144402634059,275.0,2.0,110.96459043605785,104,358.0,315.2165385218894,358.0,223.0,57.08405965647419,83,346.0,270.18865008096566,254.0,207.0,54.67221369938403,2.3161936209183432E7,358.7701110839844,0,2715.266704863704,762.11279296875,1401,Evergreen needleleaf forests,64.99333586755718,-145.33587785630414,15.286661148071289,LOAM,3.0,6,14,0.273318828856748,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,23,2301,47,0.6288659572601318,0.5701700400649587,0.5604395866394043,0.5257731676101685,0.026818773667926562,47,0.6304348111152649,0.6025625177439123,0.6029411554336548,0.565517246723175,0.015290595877892117,47,0.6209677457809448,0.5391515853239414,0.548872172832489,0.45185184478759766,0.04215452234707956,47,0.7251908183097839,0.6629404377190569,0.6696428656578064,0.5639097690582275,0.039653265881712245,47,0.6930692791938782,0.6267079240003427,0.6226415038108826,0.5779816508293152,0.027103050671997246,47,0.6618704795837402,0.6282764396629241,0.6285714507102966,0.6000000238418579,0.013823386006905903,47,0.7099236845970154,0.6394272556209694,0.6307692527770996,0.5923076868057251,0.029972540717981486,47,0.6722689270973206,0.6336608717581889,0.634782612323761,0.5948275923728943,0.021585646430612455,47,0.6611570119857788,0.6232349844450741,0.6271186470985413,0.573913037776947,0.0218913972038149,47,0.6899224519729614,0.6012237219987974,0.6000000238418579,0.5359477400779724,0.03314955205356146,47,0.7333333492279053,0.694643218455255,0.6930692791938782,0.6700000166893005,0.014338686305086713,47,0.5862069129943848,0.5061461402376402,0.5135135054588318,0.4017094075679779,0.04789691127300475,1,235.0,235.0,235.0,235.0,0.0,42,273.0,228.59756707215456,217.0,210.0,19.945958734572613,22,362.0,239.83897996357013,334.0,2.0,113.27181525971675,45,360.0,329.40813464235634,347.0,220.0,54.5879107495423,14,333.0,138.80713128038897,227.0,5.0,122.72885744184042,19,359.0,237.79327157484147,235.0,233.0,30.469275201454,47,351.0,280.3415040096837,337.0,208.0,63.88578394818765,45,223.0,219.08891363130272,220.0,211.0,2.5235679229473607,42,366.0,324.1004613018964,362.0,199.0,59.16980924872587,36,301.0,243.29489853973072,275.0,1.0,76.20964323641873,10,358.0,358.0,358.0,358.0,0.0,33,346.0,299.65814414811547,321.0,209.0,47.9223047347761,6536280.74623844,134.52862548828125,0,1442.4156059889467,725.16064453125,2301,Evergreen needleleaf forests,64.7620126580534,-145.83638983625292,17.68246841430664,LOAM,3.0,6,23,0.318803593693204,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,27,2701,49,0.60550457239151,0.5482835785955281,0.5444444417953491,0.4225352108478546,0.03410527393697972,49,0.6304348111152649,0.60525155517456,0.6086956262588501,0.5090909004211426,0.024636327210498066,49,0.6209677457809448,0.5171932641635206,0.5111111402511597,0.4017094075679779,0.0533354997580705,49,0.7250000238418579,0.6404720330449196,0.6349206566810608,0.5233644843101501,0.05344454520775551,49,0.6800000071525574,0.6112163240914261,0.6060606241226196,0.5204081535339355,0.030479073393935924,49,0.6739130616188049,0.6277785611824254,0.6370370388031006,0.5087719559669495,0.03317172787927558,49,0.6666666865348816,0.6273361461849009,0.6240000128746033,0.5583333373069763,0.02494773303984978,49,0.6722689270973206,0.6214874988202772,0.6097561120986938,0.561904788017273,0.026227376121213435,49,0.6532257795333862,0.5962947312433762,0.6034482717514038,0.4655172526836395,0.041019634438785514,49,0.6899224519729614,0.5975055563871564,0.6000000238418579,0.44628098607063293,0.05590024766711682,49,0.7263157963752747,0.6894379115147627,0.6893203854560852,0.6043956279754639,0.023673816972514975,49,0.5862069129943848,0.4750808004791373,0.47863247990608215,0.3100000023841858,0.06125753555810207,0,,,,,,41,365.0,227.26861204638993,217.0,216.0,33.47521657772574,25,362.0,297.5934158694429,362.0,2.0,119.83755671741643,44,360.0,263.12429676511965,227.0,12.0,88.37432127692425,6,229.0,47.324420677361864,5.0,5.0,83.47987115999216,32,297.0,250.32443487621106,235.0,232.0,22.741391743635656,49,351.0,273.62070094988553,213.0,208.0,62.945988098866245,43,278.0,215.78037963455745,216.0,211.0,9.780224194227092,49,366.0,336.9285948247626,362.0,201.0,56.33949126251008,35,345.0,189.9321482766096,259.0,1.0,115.79984843668485,2,358.0,239.0,232.0,232.0,63.0,29,346.0,244.9256496012349,241.0,208.0,36.745776367578955,6039503.235818311,327.66949462890625,0,1386.518513255399,712.7261962890625,2701,Evergreen needleleaf forests,64.75894526759117,-145.78790988057614,18.835363388061523,LOAM,3.0,6,27,0.341116649789581,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,29,2901,86,0.642201840877533,0.5769789458322857,0.5765765905380249,0.5232558250427246,0.027065770730241627,86,0.640625,0.5710211186560399,0.5679892003536224,0.5090909004211426,0.0290065942066001,86,0.5666666626930237,0.5006934711181704,0.5,0.4095238149166107,0.04013683544684679,86,0.6969696879386902,0.6403561441216375,0.6486486196517944,0.5573770403862,0.03849618928001015,86,0.692307710647583,0.6048822111725126,0.5959596037864685,0.5053763389587402,0.04669353644806124,86,0.6729559898376465,0.6329149781068876,0.6346121401439312,0.5737704634666443,0.02261245246452724,86,0.6875,0.6463682977520522,0.6511628031730652,0.5939849615097046,0.026442461649695402,86,0.6439393758773804,0.5936210579234664,0.5953219205560819,0.5426356792449951,0.020753786390518288,86,0.6581196784973145,0.6134260979941152,0.6147540807724,0.5317460298538208,0.024885713140479316,86,0.6875,0.5690109687728717,0.5629629492759705,0.4701492488384247,0.0547035610571315,86,0.7191011309623718,0.6558611291615346,0.6530612111091614,0.5955055952072144,0.02807397857147994,86,0.6238532066345215,0.536676674563987,0.5405405163764954,0.4285714328289032,0.04440821678683101,4,311.0,261.44086021505376,256.0,256.0,23.81569860407206,53,333.0,262.1353965183752,224.0,212.0,48.06766620086587,63,337.0,287.7701308273447,334.0,7.0,103.84221852987517,61,360.0,220.9628891008411,226.0,12.0,55.024618857946166,17,341.0,273.8949033391916,331.0,1.0,98.56555965535331,58,325.0,239.25100088967966,236.0,233.0,12.04470467966956,26,338.0,236.18761152179457,323.0,11.0,98.61979469318237,85,224.0,218.6259113853057,218.0,210.0,2.929151890197858,46,366.0,252.93069983597604,217.0,206.0,63.54353404034496,59,330.0,164.03308701885965,214.0,2.0,144.70349083054768,4,364.0,307.9978260869566,358.0,243.0,59.03812327640505,46,328.0,236.1877723311547,245.0,209.0,21.170341632560476,1.4340983257662106E7,132.64337158203125,0,2136.557218637047,790.6828002929688,2901,Evergreen needleleaf forests,65.02483605014119,-146.51625906717948,23.142959594726562,LOAM,3.0,6,29,0.427422627132149,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,32,3201,132,0.6752136945724487,0.5856733604254,0.588601807753245,0.478723406791687,0.038643567965102744,132,0.6458333134651184,0.5878709033331825,0.5970897057226726,0.49074074625968933,0.03235840606953367,132,0.585185170173645,0.5175721538311596,0.5307692289352417,0.39316239953041077,0.04166375839786735,132,0.7280701994895935,0.6301821040405546,0.6399999856948853,0.5128205418586731,0.049727665369630705,132,0.6915887594223022,0.6231294385798364,0.6313700202949541,0.5280898809432983,0.03719534098666372,132,0.6797385811805725,0.6302382259585477,0.6363636255264282,0.5461538434028625,0.026996663404632193,132,0.7076923251152039,0.6169933176071114,0.6159420013427734,0.5367646813392639,0.04131233865861983,132,0.6287878751754761,0.5754100585898679,0.5808823704719543,0.5161290168762207,0.025743008900679144,132,0.6666666865348816,0.6137297884594153,0.6141732335090637,0.5596330165863037,0.023482210043152596,132,0.6641790866851807,0.5340089259210562,0.5348837375640869,0.42241379618644714,0.0614257857596273,132,0.6860465407371521,0.6238708472303358,0.625,0.5301204919815063,0.029041021015741242,132,0.5798319578170776,0.503432373794891,0.5041775605053578,0.4150943458080292,0.032663273413549944,0,,,,,,68,333.0,274.18413736713,266.0,216.0,29.88125287461019,49,337.0,252.5114332861858,269.0,2.0,107.5643100645693,31,360.0,235.9517179023508,227.0,218.0,26.164730691409947,2,331.0,323.68131868131866,331.0,220.0,55.5,94,359.0,250.54897911011452,235.0,231.0,27.387287019109614,106,338.0,190.46907273736815,213.0,11.0,81.41727242981678,125,332.0,223.242474836617,217.99999999999994,210.0,17.525113409048213,71,366.0,301.52270651722694,362.0,203.0,73.09012678607452,71,290.0,131.82603158430973,24.0,1.0,122.65855375538725,6,360.0,291.7413793103449,287.0,230.0,49.76946855251722,68,353.0,315.82803164863554,330.0,221.0,42.29915907120946,2.2425595939929977E7,110.8504409790039,0,2671.7576408130267,728.487548828125,3201,Evergreen needleleaf forests,65.19725912422632,-146.491570131303,17.509626388549805,LOAM,3.0,6,32,0.315483513490797,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,34,3401,41,0.6000000238418579,0.5586383966413732,0.5652173757553101,0.4588235318660736,0.03235782602287959,41,0.61654132604599,0.5762728634609552,0.5839415788650513,0.4811320900917053,0.03520541112606522,41,0.5633803009986877,0.5146332669243353,0.5298507213592529,0.3513513505458832,0.0546210179005669,41,0.6969696879386902,0.6304169818820488,0.6449275612831116,0.5142857432365417,0.046129250494580436,41,0.692307710647583,0.63324815982339,0.6371681690216064,0.5204081535339355,0.047803718992168676,41,0.6815286874771118,0.6318972809294057,0.6335403919219971,0.5413534045219421,0.03181027642975628,41,0.7007299065589905,0.662602010046914,0.6666666865348816,0.5593220591545105,0.034087661173373376,41,0.6439393758773804,0.6049537551700823,0.6102941036224365,0.48571428656578064,0.03279472532571705,41,0.6666666865348816,0.6167608396289371,0.6124030947685242,0.5483871102333069,0.026614544593247268,41,0.6875,0.5973191497421381,0.6029411554336548,0.4553571343421936,0.06100507890025488,41,0.7009345889091492,0.6561672122861413,0.6555555462837219,0.6206896305084229,0.02094399214907817,41,0.6111111044883728,0.5218430967750775,0.5322580933570862,0.3695652186870575,0.05447733783112986,2,311.0,311.0,311.0,311.0,0.0,28,333.0,272.4161244695898,226.0,216.0,53.56228493396207,23,342.0,331.2179054054054,337.0,205.0,47.796156642475516,25,360.0,228.56678281068525,227.0,224.0,26.563553979089512,3,248.0,248.0,248.0,248.0,0.0,32,249.0,235.87007389162565,235.0,233.0,4.594387710838083,29,337.0,214.35910652920973,214.0,213.0,29.473460925548718,39,336.0,248.87259565667011,218.0,215.0,45.02044243103776,36,366.0,268.6654064272213,220.0,203.0,64.67460694855912,27,330.0,115.54862489367733,25.0,1.0,110.70659699080245,12,364.0,294.39368556701027,275.0,231.0,60.69521992893855,6,224.0,222.69879518072293,224.0,217.0,2.753785273643051,4793776.889891383,42.28464126586914,0,1235.2759109655674,693.3424682617188,3401,Evergreen needleleaf forests,65.00910765597071,-146.43790348410667,18.280086517333984,LOAM,3.0,6,34,0.33033285473755,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,42,4201,60,0.6534653306007385,0.5951326484637195,0.5959596037864685,0.5161290168762207,0.026810122860892033,60,0.6304348111152649,0.5934969959085185,0.5957446694374084,0.5586206912994385,0.01639801756578421,60,0.5942028760910034,0.5302096483132631,0.5277777910232544,0.45985400676727295,0.02509430474519078,60,0.7338709831237793,0.6729887016172704,0.6766917109489441,0.6016260385513306,0.03297296704498444,60,0.684684693813324,0.6285681874261606,0.626086950302124,0.568965494632721,0.025645445000306202,60,0.6597222089767456,0.6287051449950445,0.6258503198623657,0.6056337952613831,0.013199748650363406,60,0.7099236845970154,0.649157932745116,0.6456692814826965,0.6015037298202515,0.024250877069933608,60,0.6692913174629211,0.6460515679765256,0.6480000019073486,0.5897436141967773,0.017327004115632847,60,0.6608695387840271,0.6150495912751905,0.6120689511299133,0.5267857313156128,0.022244056149430064,60,0.654411792755127,0.6025783340863258,0.5985915660858154,0.5359477400779724,0.02659425437545352,60,0.7333333492279053,0.6779386657300809,0.6767676472663879,0.6190476417541504,0.02322630033060442,60,0.5855855941772461,0.5185454354486025,0.5213675498962402,0.4137931168079376,0.03593431329414165,4,350.0,296.1219512195122,311.0,244.0,43.800684926151554,59,337.0,247.60977988297583,217.0,210.0,49.55627874446522,27,362.0,219.23812351543944,219.0,4.0,115.46492172148278,56,360.0,314.06038789303557,360.0,219.0,63.52108510212198,32,342.0,211.56222623035302,226.0,5.0,97.40732775310079,28,359.0,239.67345783814378,235.0,233.0,24.962906154401693,59,338.0,240.38614268109004,210.0,207.0,56.25892760077152,56,278.0,219.24165707710017,218.0,206.0,11.475781397075574,50,366.0,338.6927624221122,362.0,202.0,54.73675547563997,34,275.0,158.02127659574467,275.0,1.0,135.24536525711116,23,358.0,354.48523985239854,358.0,291.0,15.472030988566239,57,330.0,299.90653432588914,328.0,207.0,45.05319177659046,7350794.126267388,77.70581817626953,0,1529.6504312072905,690.46142578125,4201,Evergreen needleleaf forests,64.78000078468736,-145.86168567882356,17.656129837036133,LOAM,3.0,6,42,0.318297251542809,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,50,5001,48,0.6091954112052917,0.41466334528630777,0.40789473056793213,0.28070175647735596,0.08671195000696302,48,0.6268656849861145,0.44223883880054804,0.43157893419265747,0.3243243098258972,0.07868238239211928,48,0.5360000133514404,0.3273978812883812,0.3191489279270172,0.190476194024086,0.0895232617691193,48,0.7102803587913513,0.5506263504075544,0.550561785697937,0.4583333432674408,0.06772025466454255,48,0.7037037014961243,0.5395855795190027,0.5393258333206177,0.4262295067310333,0.06255671788394178,48,0.6595744490623474,0.5531475856965286,0.5565217137336731,0.47311827540397644,0.04698313120113064,48,0.7345132827758789,0.6121673295442864,0.6036036014556885,0.5495495200157166,0.04502148057970662,48,0.6532257795333862,0.5156289349290928,0.5154638886451721,0.39743590354919434,0.0660532053068394,48,0.6800000071525574,0.5530609535942285,0.5520833134651184,0.4712643623352051,0.05192168834186513,48,0.6379310488700867,0.48942274399478214,0.4838709533214569,0.35849055647850037,0.06862030921613771,48,0.6790123581886292,0.5555430222407255,0.550000011920929,0.4743589758872986,0.05937140702843405,48,0.5392156839370728,0.3904176968209684,0.3921568691730499,0.2906976640224457,0.06866936536477647,0,,,,,,26,365.0,318.4339933993399,329.0,228.0,51.68921694056701,18,332.0,213.7319587628866,204.0,7.0,103.57458396944902,18,360.0,261.7933194154488,327.0,13.0,105.98050426352297,0,,,,,,44,359.0,234.0671364985164,233.0,231.0,18.894881024383697,41,344.0,287.69826517967795,338.0,11.0,93.2138962712142,26,336.0,262.9333881578947,270.0,215.0,27.1587487402512,10,366.0,292.3431013431013,330.0,198.0,66.69100389107966,25,332.0,263.2824456114028,275.0,1.0,123.8789344481135,4,358.0,358.0,358.0,358.0,0.0,14,325.0,233.29511278195494,224.0,208.0,38.84401038586442,6337065.399420405,196.80084228515625,0,1420.2642592238767,823.5310668945312,5001,Evergreen needleleaf forests,65.0727493750468,-145.0371015843397,17.671924591064453,LOAM,3.0,6,50,0.318600877694798,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,52,5201,140,0.6633663177490234,0.5871966588976277,0.5833333134651184,0.5106382966041565,0.03001299050947639,140,0.6870229244232178,0.616691346428743,0.6207764084621142,0.5517241358757019,0.031189514503792,140,0.6203703880310059,0.5182877548283754,0.5222203219073942,0.29487180709838867,0.046479228904298946,140,0.7964601516723633,0.707279669684354,0.7269798121694047,0.5769230723381042,0.051671905960899905,140,0.7551020383834839,0.6654899732785161,0.669654978230395,0.5363636612892151,0.04982842672444538,140,0.7194244861602783,0.6760926624254977,0.6810322417641566,0.5809524059295654,0.02732830326293649,140,0.8037382960319519,0.6625614095289251,0.6666666865348817,0.5563910007476807,0.0479250922660683,140,0.7096773982048035,0.6345343525807994,0.6352132558822632,0.5666666626930237,0.038757384842427314,140,0.698113203048706,0.6143981855392713,0.6176387369632721,0.4953271150588989,0.043647848803766764,140,0.7520661354064941,0.6349898619010386,0.6370851457004584,0.47959184646606445,0.06090668119544111,140,0.77173912525177,0.6560074483412606,0.6598744231966015,0.5454545617103577,0.04256346831625297,140,0.6605504751205444,0.5139559168603158,0.5171798272633258,0.375,0.05821701378307661,26,322.0,286.32639791937584,320.0,222.0,40.86968755626534,74,329.0,230.5701885662976,227.0,203.0,25.14324193590552,121,362.0,243.9803220035778,330.0,2.0,117.85595483943098,79,364.0,259.16522040958006,229.0,11.0,71.24902560776587,19,344.0,132.17480719794347,6.0,3.0,145.46488662559508,78,359.0,251.86597745531543,235.0,232.0,43.15313199281078,114,341.0,254.50617110799436,210.27539298669888,12.0,64.99468512967954,129,336.0,224.5953191136193,218.0,206.0,22.4705724672423,105,366.0,333.5027205189912,362.0,190.0,53.528896555411215,75,345.0,225.45416425679588,330.0,1.0,147.70055231973765,28,365.0,272.4229813664596,235.0,220.0,53.930167904467744,74,346.0,258.5137368773731,252.0,1.0,79.6848476513288,2.5572694077008396E7,9.663229942321777,0,2853.0757685461913,881.4127807617188,5201,Evergreen needleleaf forests,64.89998066339619,-145.6275351699767,19.315149307250977,LOAM,3.0,6,52,0.350491878111678,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,56,5601,42,0.72826087474823,0.6500018028431116,0.6516854166984558,0.550000011920929,0.03548395301672992,42,0.6713286638259888,0.6461471817572623,0.6527777910232544,0.4939759075641632,0.03661979489838648,42,0.6384615302085876,0.5624355542441317,0.5701754093170166,0.3382352888584137,0.0714903034630375,42,0.7560975551605225,0.7045202014509515,0.7120000123977661,0.5588235259056091,0.0489013927458945,42,0.7894737124443054,0.7185830368661633,0.7156862616539001,0.5714285969734192,0.045934890212871816,42,0.6888889074325562,0.6577309755042072,0.6642335653305054,0.5,0.04255059993421429,42,0.818965494632721,0.7509011479365185,0.7478991746902466,0.658823549747467,0.03423275961613037,42,0.7416666746139526,0.6937562577208847,0.7039999961853027,0.5882353186607361,0.034828890268680156,42,0.7226890921592712,0.6761922839716843,0.6837607026100159,0.5783132314682007,0.03547187496025273,42,0.7291666865348816,0.6763517131421327,0.699999988079071,0.4615384638309479,0.06854985101478331,42,0.804347813129425,0.7396759918728589,0.7395833134651184,0.6753246784210205,0.03650858138741864,42,0.6581196784973145,0.5912133364487203,0.5966386795043945,0.49367088079452515,0.03927454909921244,6,321.0,320.34837545126356,320.0,320.0,0.4714045207978915,35,365.0,244.69562348801406,231.0,228.0,42.682730819431825,20,341.0,184.5509586276489,297.0,7.0,157.54182777916475,33,350.0,231.19572553430822,228.0,226.0,28.8459700966576,0,,,,,,40,292.0,240.0824337585869,237.0,236.0,12.414809704542488,18,342.0,338.44169478815144,339.0,213.0,28.938259095981692,29,336.0,229.48480810234545,222.0,218.0,22.3641891425725,7,366.0,335.0506024096386,366.0,214.0,53.188920129006085,23,331.0,278.1943653054765,331.0,7.0,103.46296927568896,12,364.0,282.7448902346707,275.0,230.0,52.89218593831544,21,335.0,234.96925179364536,250.0,1.0,84.92942247961594,5184642.443775699,10.94732666015625,0,1284.6489583469458,1158.9385986328125,5601,Evergreen needleleaf forests,65.05434962996499,-144.77955408035933,21.224748611450195,LOAM,3.0,6,56,0.38837145029287,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
